Listening...

CarTelemetryPacket { speed_kph: 180, throttle: 1.0, steer: 0.0, brake: 0.0, clutch: 0, gear: 4, eng_rpm: 11193, drs: 1, rev_light_percent: 21, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 99, tyre_2_surface_temp: 99, tyre_3_surface_temp: 95, tyre_4_surface_temp: 96, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 87, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 186, throttle: 1.0, steer: 0.005514575, brake: 0.0, clutch: 0, gear: 4, eng_rpm: 11532, drs: 1, rev_light_percent: 60, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 99, tyre_2_surface_temp: 99, tyre_3_surface_temp: 95, tyre_4_surface_temp: 95, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 87, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 191, throttle: 1.0, steer: 0.0017438615, brake: 0.0, clutch: 0, gear: 4, eng_rpm: 11824, drs: 1, rev_light_percent: 92, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 98, tyre_2_surface_temp: 99, tyre_3_surface_temp: 94, tyre_4_surface_temp: 95, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 87, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 195, throttle: 1.0, steer: -0.0017438615, brake: 0.0, clutch: 0, gear: 5, eng_rpm: 10312, drs: 1, rev_light_percent: 0, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 98, tyre_2_surface_temp: 98, tyre_3_surface_temp: 94, tyre_4_surface_temp: 95, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 87, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 200, throttle: 1.0, steer: 0.0, brake: 0.0, clutch: 0, gear: 5, eng_rpm: 10591, drs: 1, rev_light_percent: 0, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 98, tyre_2_surface_temp: 98, tyre_3_surface_temp: 94, tyre_4_surface_temp: 94, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 88, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 204, throttle: 1.0, steer: 0.0, brake: 0.0, clutch: 0, gear: 5, eng_rpm: 10828, drs: 1, rev_light_percent: 0, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 98, tyre_2_surface_temp: 98, tyre_3_surface_temp: 93, tyre_4_surface_temp: 94, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 88, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 209, throttle: 1.0, steer: 0.0, brake: 0.0, clutch: 0, gear: 5, eng_rpm: 11066, drs: 1, rev_light_percent: 8, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 97, tyre_2_surface_temp: 97, tyre_3_surface_temp: 93, tyre_4_surface_temp: 93, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 88, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 213, throttle: 1.0, steer: 0.0012330964, brake: 0.0, clutch: 0, gear: 5, eng_rpm: 11285, drs: 1, rev_light_percent: 34, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 97, tyre_2_surface_temp: 97, tyre_3_surface_temp: 92, tyre_4_surface_temp: 93, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 88, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 217, throttle: 1.0, steer: 0.0, brake: 0.0, clutch: 0, gear: 5, eng_rpm: 11517, drs: 1, rev_light_percent: 57, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 97, tyre_2_surface_temp: 97, tyre_3_surface_temp: 92, tyre_4_surface_temp: 93, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 88, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 221, throttle: 1.0, steer: 0.0, brake: 0.0, clutch: 0, gear: 5, eng_rpm: 11719, drs: 1, rev_light_percent: 82, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 96, tyre_2_surface_temp: 96, tyre_3_surface_temp: 92, tyre_4_surface_temp: 92, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 88, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 224, throttle: 1.0, steer: -0.0, brake: 0.0, clutch: 0, gear: 6, eng_rpm: 10568, drs: 1, rev_light_percent: 0, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 96, tyre_2_surface_temp: 96, tyre_3_surface_temp: 91, tyre_4_surface_temp: 92, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 88, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

